"code","time_zone_id","name","city_code","country_id","location","elevation","url","icao","city","county","state"
KGH,Pacific/Port_Moresby,Yongai,KGH,PG,POINT (142.66667 -4.833333),6500,,AYJO,,,
KCJ,Pacific/Port_Moresby,Komaio,KCJ,PG,POINT (143.6 -7.266667),28,,AYOQ,,,
TAB,America/Port_of_Spain,A.N.R. Robinson International Airport,TAB,TT,POINT (-60.8375427625885 11.15043845),38,,TTCP,Scarborough,,Tobago
TAE,Asia/Seoul,Daegu International Airport,TAE,KR,POINT (128.6516654 35.8979585),116,,RKTN,Daegu,,Daegu
BCL,America/Costa_Rica,Barra Colorado,BCL,CR,POINT (-82.96667 10.833333),3,,MRBC,Matina,,Limon
MFH,America/Los_Angeles,Mesquite,MFH,US,POINT (-114.05602110333419 36.8344446),1912,http://www.cityofmesquite.com/457/Airport-Mesquite-Metro-Airport,"67L",Mesquite,Clark County,Nevada
TAH,Pacific/Efate,Tanna Airport,TAH,VU,POINT (169.22362184123318 -19.45388655),19,,NVVW,Isangel,,Tafea
TAK,Asia/Tokyo,Takamatsu Airport,TAK,JP,POINT (134.01940079050462 34.2151743),607,,RJOT,Takamatsu-shi,,Kagawa
TAM,America/Monterrey,Tampico International Airport,TAM,MX,POINT (-97.8640037411272 22.29066925),80,,MMTM,Tampico,,Tamaulipas
TBR,America/New_York,Statesboro-Bulloch County Airport,TBR,US,POINT (-81.73961004884927 32.483064999999996),187,,KTBR,Statesboro,Bulloch County,Georgia
TBS,Asia/Tbilisi,Tbilisi International Airport,TBS,GE,POINT (44.95514406314355 41.66958674999999),1624,http://www.tbilisiairport.com/,UGTB,Didi Lilo,,
AAH,Europe/Berlin,Aachen/Merzbruck,AAH,DE,POINT (6.133333 50.75),754,https://www.flugplatz-aachen.de,EDKA,,,
TBZ,Asia/Tehran,Tabriz Airport,TBZ,IR,POINT (46.24601138618142 38.13556965),4459,http://www.tabrizairport.ir/,OITT,Tabriz,,East Azerbaijan
COW,America/Santiago,Coquimbo,COW,CL,POINT (-70.63333 -32.8),2486,,SCCQ,Los Andes,Provincia de Los Andes,Valparaiso
COX,America/Nassau,Congo Town,COX,BS,POINT (-77.5913170475257 24.159072549999998),36,,,,,
BCH,Asia/Dili,Cakung International,BCH,TL,POINT (126.39972 -8.491667),1669,,WPEC,Baucau,,Baucau
LCK,America/New_York,Rickenbacker International Airport,CMH,US,POINT (-82.934199729754 39.8132172),744,http://rickenbackerinlandport.com/en/rickenbacker-international-airport/,KLCK,Obetz,Franklin County,Ohio
LCX,Asia/Shanghai,Liancheng Airport,LCX,CN,POINT (116.74805107673899 25.6764127),1225,,ZSLD,Wenheng,,Fujian
LDG,Europe/Moscow,Leshukonskoye,LDG,RU,POINT (45.727138706151194 64.89718365),220,,ULAL,Leshukonskoye,,Arkhangelskaya
COZ,America/Santo_Domingo,Constanza,COZ,DO,POINT (-70.71667 18.9),3877,,MDCZ,Constanza,Constanza,La Vega
CPA,Africa/Monrovia,A. Tubman,CPA,LR,POINT (-7.695556 4.376667),19,,GLCP,Harper City,,Maryland
CPC,America/Argentina/Salta,Chapelco Airport,CPC,AR,POINT (-71.13333 -40.066666),2500,,SAZY,Junin de los Andes,,Neuquen
CPE,America/Merida,Campeche International Airport,CPE,MX,POINT (-90.509445 19.835),42,,MMCP,Campeche,Campeche,Campeche
CPF,Asia/Jakarta,Cepu,CPF,ID,POINT (111.583336 -7.15),88,,WARC,Cepu,,Central Java
CPH,Europe/Copenhagen,Copenhagen Airport,CPH,DK,POINT (12.650982248393536 55.6091282),26,http://www.cph.dk/en/,EKCH,Dragor,Dragor Kommune,Capital Region
CPL,America/Bogota,Chaparral,CPL,CO,POINT (-75.46667 3.716667),2634,,SKHA,Chaparral,,Tolima
CPM,America/Los_Angeles,Compton,CPM,US,POINT (-118.24778 33.894444),82,,KCPM,West Rancho Dominguez,Los Angeles County,California
CPO,America/Santiago,Chamonate Airport,CPO,CL,POINT (-70.414406 -27.29892),994,,SCAT,Copiapo,Provincia de Copiapo,Atacama
CPQ,America/Sao_Paulo,International,CPQ,BR,POINT (-47.111595 -22.856462),1919,,,Campinas,Campinas,Sao Paulo
BCJ,America/Denver,Baca Grande,BCJ,US,POINT (-106 39),9258,,,Buena Vista,Chaffee County,Colorado
BCM,Europe/Bucharest,Bacau Airport,BCM,RO,POINT (26.881945 46.59861),557,http://www.bacauairport.ro/,LRBC,Margineni-Munteni,,Bacau
BCQ,Africa/Tripoli,Brack,BCQ,LY,POINT (14.216667 27.683332),1509,,"",Brak,,Sha`biyat Wadi ash Shati'
BCR,America/Manaus,Boca Do Acre,BCR,BR,POINT (-67.38333 -8.75),377,,SWNK,Boca do Acre,Boca Do Acre,Amazonas
BCT,America/New_York,Public,BCT,US,POINT (-80.083336 26.35),52,,KBCT,Boca Raton,Palm Beach County,Florida
BCU,Africa/Lagos,Bauchi,BCU,NG,POINT (9.8 10.366667),1932,,DNBC,Bauchi,,Bauchi
BCX,Asia/Yekaterinburg,Beloreck,BCX,RU,POINT (58.333332 53.933334),1781,,UWUB,Lomovka,,Bashkortostan
BCY,Africa/Addis_Ababa,Bulchi,BCY,ET,POINT (36.666668 6.216667),6066,,,Felege Neway,,"Southern Nations, Nationalities, and People's Region"
BDC,America/Fortaleza,Barra Do Corda,BDC,BR,POINT (-45.266666 -5.466667),551,,SNBC,Barra do Corda,Barra Do Corda,Maranhao
BDF,America/Chicago,Rinkenberger,BDF,US,POINT (-89.65 41.183334),787,,"3IS8",Wyoming,Stark County,Illinois
BDN,Asia/Karachi,Talhar,BDN,PK,POINT (68.9 24.633333),42,,OPTH,Badin,,Sindh
CPR,America/Denver,Casper/Natrona County International Airport,CPR,US,POINT (-106.46452637926663 42.9054165),5328,,KCPR,Mills,Natrona County,Wyoming
CPS,America/Chicago,St. Louis Downtown Airport,STL,US,POINT (-90.15194783343586 38.56948535),383,,KCPS,Cahokia,Saint Clair County,Illinois
CPT,Africa/Johannesburg,Cape Town International Airport,CPT,ZA,POINT (18.602112520148317 -33.97184585),114,http://www.airports.co.za/home.asp?pid=229,FACT,Lansdowne,City of Cape Town,Western Cape
ABD,Asia/Tehran,Abadan Airport,ABD,IR,POINT (48.228439506236356 30.3668469),26,,OIAA,Abadan,,Khuzestan
YGO,America/Winnipeg,Gods Lake Narrows Airport,YGO,CA,POINT (-94.4913969 54.5588933),617,,CYGO,,,
ABT,Asia/Riyadh,Al-Aqiq Airport,ABT,SA,POINT (41.634277 20.296139),5446,,OEBA,Al Bahah,,Mintaqat al Bahah
ABV,Africa/Lagos,Nnamdi Azikiwe International Airport,ABV,NG,POINT (7.265007350650086 9.00668065),1092,http://www.faannigeria.org/nigeria-airport.php?airport=3,DNAA,Madala,,Abuja Federal Capital Territory
ABX,Australia/Sydney,Albury Airport,ABX,AU,POINT (146.95187679604823 -36.06894285),544,,YMAY,East Albury,Albury Municipality,New South Wales
AMA,America/Chicago,Rick Husband Amarillo International Airport,AMA,US,POINT (-101.70183038894899 35.219594150000006),3605,http://airport.amarillo.gov/,KAMA,,,
YDJ,America/Regina,Hatchet Lake,YDJ,CA,POINT (-102.539444 58.660557),1362,,CJL2,,,
CPU,America/Fortaleza,Cururupu,CPU,BR,POINT (-44.866944 -1.821111),78,,SNCU,Cururupu,Cururupu,Maranhao
TCA,Australia/Darwin,Tennant Creek,TCA,AU,POINT (134.18226892859178 -19.6305093),1236,http://www.tennantcreekairport.com.au/,YTNK,Tennant Creek,Barkly,Northern Territory
TCG,Asia/Shanghai,Tacheng,TCG,CN,POINT (83.34244927026901 46.6714082),0,,ZWTC,Qaxa,,Xinjiang Uygur Zizhiqu
TCN,America/Mexico_City,Tehuacan,TCN,MX,POINT (-97.4207631830804 18.49717635),5509,,MMHC,San Isidro Vista Hermosa,Santiago Miahuatlan,Puebla
TED,Europe/Copenhagen,Thisted,TED,DK,POINT (8.698246553187925 57.0698586),23,,EKTS,Hanstholm,Thisted Kommune,North Denmark
YEU,America/Rankin_Inlet,Eureka,YEU,CA,POINT (-85.80846870855433 79.9941331),256,,CYEU,,,
TEI,Asia/Kolkata,Tezu,TEI,IN,POINT (96.13487309149708 27.9426344),800,,VETJ,Tezu,Lohit District,Arunachal Pradesh
TEM,Australia/Sydney,Temora,TEM,AU,POINT (147.51409013411146 -34.42399035),921,https://www.temora.nsw.gov.au/Council-Facilities/Airpark-and-Aerodrome,YTEM,Junee,Junee,New South Wales
TEN,Asia/Shanghai,Tongren Airport,TEN,CN,POINT (109.31186542271934 27.88668595),0,,ZUTR,Chatian,,Hunan
CPX,America/Puerto_Rico,Benjamin Rivera Noriega Airport,CPX,PR,POINT (-65.30421884297488 18.31337195),36,,TJCP,Culebra,,Culebra
TER,Atlantic/Azores,Lajes Field,TER,PT,POINT (-27.09108465736351 38.764423699999995),180,http://aerogarelajes.azores.gov.pt,LPLA,Praia da Vitoria,Praia da Vitoria,Azores
TES,Africa/Asmara,Tessenei,TES,ER,POINT (36.682060788618955 15.10377495),2018,,HHTS,Teseney,,Gash Barka
CQF,Europe/Paris,Calais,CQF,FR,POINT (1.9533631394434978 50.9607603),36,,LFAC,Marck,Departement du Pas-de-Calais,Nord-Pas-de-Calais
CRC,America/Bogota,Cartago,CRC,CO,POINT (-75.933334 4.766667),2972,,SKGO,Cartago,,Valle del Cauca
WDH,Africa/Windhoek,Hosea Kutako International Airport,WDH,NA,POINT (17.472054302453607 -22.4822038),5600,http://airports.com.na/,FYWH,,,
CRD,America/Argentina/Catamarca,General E. Mosconi International Airport,CRD,AR,POINT (-67.462776 -45.787224),91,,SAVC,Comodoro Rivadavia,,Chubut
CRH,Australia/Brisbane,Cherribah,CRH,AU,POINT (152.16667 -28),2024,,YCHB,,,
CRM,Asia/Manila,National Airport,CRM,PH,POINT (124.583336 12.483333),246,,RPVF,Bobon,Province of Northern Samar,Eastern Visayas
CRO,America/Los_Angeles,Corcoran,CRO,US,POINT (-119.59505191182205 36.10280109999999),114,,"",Corcoran,Kings County,California
CRQ,America/Bahia,Caravelas,CRQ,BR,POINT (-39.25 -17.75),0,,SSCV,Nova Vicosa,Nova Vicosa,Bahia
CRR,America/Argentina/Cordoba,Ceres,CRR,AR,POINT (-61.833332 -29.916668),288,,SANW,Hersilia,,Santa Fe
CRS,America/Chicago,Corsicana,CRS,US,POINT (-96.46667 32.1),429,http://www.cityofcorsicana.com/Index.aspx?NID=577,KCRS,Corsicana,Navarro County,Texas
CRT,America/Chicago,Municipal,CRT,US,POINT (-91.96667 33.13333),141,,KCRT,Crossett,Ashley County,Arkansas
CRX,America/Chicago,Roscoe Turner,CRX,US,POINT (-88.6035004 34.9150009),364,http://www.corinth-alcornairport.com,KCRX,Corinth,Alcorn County,Mississippi
CRZ,Asia/Ashgabat,Turkmenabad,CRZ,TM,POINT (63.61667 39.083332),623,,UTAV,Turkmenabat,,Lebap
BDY,America/Los_Angeles,State,BDY,US,POINT (-124.416664 43.11667),52,,S05,Bandon,Coos County,Oregon
BEH,America/Detroit,Ross Field,BEH,US,POINT (-86.42833 42.127777),606,http://www.swmiairport.com/1201.html,KBEH,Benton Heights,Berrien County,Michigan
BEK,Asia/Kolkata,Bareli,BEK,IN,POINT (81.23333 26.216667),364,,VIBY,Rae Bareli,Rae Bareli,Uttar Pradesh
BEO,Australia/Sydney,Belmont,NTL,AU,POINT (151.66667 -33.033333),26,,YLMQ,Belmont,Lake Macquarie Shire,New South Wales
BEP,Asia/Kolkata,Bellary,BEP,IN,POINT (76.88153285750052 15.16220255),1505,,VOBI,Bellary,Bellary,Karnataka
BEV,Asia/Jerusalem,Beer Sheba,BEV,IL,POINT (34.8 31.25),869,,LLBS,Beersheba,,Southern District
BEX,Europe/London,Benson RAF Station,BEX,GB,POINT (-1.083333 51.63333),216,,EGUB,Benson,Oxfordshire,England
BFD,America/New_York,Bradford Airport,BFD,US,POINT (-78.63944 41.802223),2125,,KBFD,Bradford,McKean County,Pennsylvania
BFE,Europe/Berlin,Bielefeld,BFE,DE,POINT (8.55 52.016666),351,http://www.flugplatz-bielefeld.de/,EDLI,Bielefeld,Regierungsbezirk Detmold,North Rhine-Westphalia
CSA,Europe/London,Isle Of Colonsay,CSA,GB,POINT (-6.243205297783833 56.0576378),19,,EGEY,,,
CSB,Europe/Bucharest,Caransebes,CSB,RO,POINT (22.24837132340668 45.41990835),813,,LRCS,Caransebes,Municipiul Caransebes,Caras-Severin
MUB,Africa/Gaborone,Maun Airport,MUB,BW,POINT (23.43219644534387 -19.97141275),3097,,FBMN,,,
ADH,Asia/Yakutsk,Aldan,ADH,RU,POINT (125.40446306539265 58.6034931),2250,,UEEA,Aldan,,Sakha
ADL,Australia/Adelaide,Adelaide Airport,ADL,AU,POINT (138.5330688373241 -34.947240449999995),26,,YPAD,Plympton,City of West Torrens,South Australia
OUU,Africa/Libreville,Ouanga,OUU,GA,POINT (10.3 -2.983333),49,,,,,
ADU,Asia/Tehran,Ardabil Airport,ADU,IR,POINT (48.41727862641293 38.32367895),4324,,OITL,Namin,,Ardabil
AEG,Asia/Jakarta,Aek Godang,AEG,ID,POINT (99.42983272544998 1.3999603999999999),925,,WIME,Padangsidempuan,,North Sumatra
BFI,America/Los_Angeles,Boeing Field International Airport,SEA,US,POINT (-122.3037 47.5371),36,,KBFI,Boulevard Park,King County,Washington
DNM,Australia/Perth,Denham,DNM,AU,POINT (113.57594702287881 -25.8975961),200,,,,,
TGO,Asia/Shanghai,Tongliao Airport,TGO,CN,POINT (122.19956104166323 43.5535787),2395,,ZBTL,Tongliao,,Inner Mongolia
TGP,Asia/Krasnoyarsk,Podkamennaya Tunguska Airport,TGP,RU,POINT (89.98597312163324 61.58585095),213,,UNIP,Podkamennaya Tunguska,,Krasnoyarskiy
TGQ,America/Cuiaba,Tangara da Serra,TGQ,BR,POINT (-57.44358442390656 -14.66279795),1460,,SWTS,Nova Olimpia,Nova Olimpia,Mato Grosso
TGT,Africa/Dar_es_Salaam,Tanga Airport,TGT,TZ,POINT (39.06655217051742 -5.09477935),129,,HTTG,Tanga,,Tanga
TGU,America/Tegucigalpa,Toncontin Airport,TGU,HN,POINT (-87.21931915065048 14.0603447),3294,,MHTG,Tegucigalpa,,Francisco Morazan
THE,America/Fortaleza,Teresina Airport,THE,BR,POINT (-42.823510202633514 -5.0598744),219,,SBTE,Teresina,Teresina,Piaui
THQ,Asia/Shanghai,Maijishan,THQ,CN,POINT (105.8635664859774 34.5593442),3590,,ZLTS,Beidao,,Gansu Sheng
THS,Asia/Bangkok,Sukhothai Airport,THS,TH,POINT (99.81971869027117 17.235404799999998),179,,VTPO,Si Samrong,,Sukhothai
MEZ,Africa/Johannesburg,Messina,MEZ,ZA,POINT (29.833332 -22.366667),2093,,FAMH,,,
MBH,Australia/Brisbane,Maryborough,MBH,AU,POINT (152.7150367125655 -25.514776050000002),72,,YMYB,Maryborough,Fraser Coast,Queensland
TIM,Asia/Jayapura,Timika Airport,TIM,ID,POINT (136.8780958916816 -4.523683800000001),103,,WAYY,Mapurujaya,,Papua
BFJ,Asia/Chongqing,Bijie Airport,BFJ,CN,POINT (105.301389 27.300278),4898,,ZUBJ,Bijie,,Guizhou Sheng
MBI,Africa/Dar_es_Salaam,Mbeya Airport,MBI,TZ,POINT (33.462739482986976 -8.918906750000001),5583,,HTGW,Mbeya,,Mbeya
MCP,America/Belem,Macapa International Airport,MCP,BR,POINT (-51.07059996039651 0.0505785),42,,SBMQ,Macapa,Macapa,Amapa
MNB,Africa/Kinshasa,Moanda,MNB,CD,POINT (12.352778 -5.926944),88,,FZAG,,,
MWL,America/Chicago,Mineral Wells Airport,MWL,US,POINT (-98.06059143160783 32.78175675),944,http://www.mineralwellsairport.com/,KMWL,Mineral Wells,Palo Pinto County,Texas
MWM,America/Chicago,Windom Municipal,MWM,US,POINT (-95.1094361 43.9132906),1371,,,Windom,Cottonwood County,Minnesota
MWO,America/New_York,Hook Field,MWO,US,POINT (-84.39794351164792 39.53105985),626,,KMWO,Middletown,Butler County,Ohio
MWX,Asia/Seoul,Muan International Airport,MWX,KR,POINT (126.38414054753376 34.991280200000006),36,http://muan.airport.co.kr/doc/muan_eng/,RKJB,Muan,,Jeollanam-do
MWZ,Africa/Dar_es_Salaam,Mwanza Airport,MWZ,TZ,POINT (32.93340863939895 -2.44583425),3756,,HTMW,Mwanza,,Mwanza
MXL,America/Tijuana,Mexicali Airport,MXL,MX,POINT (-115.24489535400568 32.63000155),62,http://aeropuertosgap.com.mx/aeropuertos/mexicali?lang=eng,MMML,Islas Agrarias Grupo A,Mexicali,Baja California
MXN,Europe/Paris,Morlaix,MXN,FR,POINT (-3.8133578921682174 48.602909249999996),249,,LFRU,Saint-Martin-des-Champs,Departement du Finistere,Brittany
MXP,Europe/Rome,Milano Malpensa Airport,MIL,IT,POINT (8.723547468967393 45.629627299999996),672,http://www.sea-aeroportimilano.it/en/malpensa/index.phtml,LIMC,Vizzola Ticino,Provincia di Varese,Lombardy
BFK,America/Denver,Buffalo Municipal Airport,DEN,US,POINT (-104.86667 39.733334),5390,,KBKF,Aurora,Adams County,Colorado
BFR,America/Indiana/Indianapolis,Virgil I Grissom Municipalcipal,BFR,US,POINT (-86.48333 38.86667),669,,KBFR,Bedford,Lawrence County,Indiana
BFT,America/New_York,County,BFT,US,POINT (-80.635 32.41083),32,,KARW,Beaufort,Beaufort County,South Carolina
BFU,Asia/Shanghai,Bengbu,BFU,CN,POINT (117.333336 32.95),42,,ZSBB,Bengbu,,Anhui Sheng
BGC,Europe/Lisbon,Braganca Airport,BGC,PT,POINT (-6.75 41.816666),2011,,LPBG,Braganca,Braganca Municipality,Braganca
BGE,America/New_York,Decatur County,BGE,US,POINT (-84.583336 30.916668),78,http://bainbridgega.com/chamber/airport.shtml,KBGE,Bainbridge,Decatur County,Georgia
BGF,Africa/Bangui,Bangui Airport,BGF,CF,POINT (18.520279 4.396111),1089,,FEFF,Bangui,,Bangui
BJD,Atlantic/Reykjavik,Bakkafjordur,BJD,IS,POINT (-14.75 66.066666),0,,BIBK,,,
BOA,Africa/Kinshasa,Boma,BOA,CD,POINT (13.066667 -5.866667),9,,FZAJ,,,
CSD,Australia/Darwin,Cresswell Downs,CSD,AU,POINT (135.9131058 -17.9465486),721,,"",,,
CSF,Europe/Paris,Creil,CSF,FR,POINT (2.5145065264394058 49.2514148),262,,LFPC,Creil,Departement de l'Oise,Picardie
CSH,Europe/Moscow,Solovky,CSH,RU,POINT (35.733334 65.02944),32,,ULAS,Rabocheostrovsk,,Republic of Karelia
CSQ,America/Chicago,Municipal,CSQ,US,POINT (-94.36667 41.066666),1289,http://www.crestoniowa.gov/crestonmunicipalairport.htm,KCSQ,Creston,Union County,Iowa
CSS,America/Campo_Grande,Cassilandia,CSS,BR,POINT (-51.983334 -18.983334),1669,,SSCL,Cassilandia,Cassilandia,Mato Grosso do Sul
YFG,America/Montreal,Fontanges,YFG,CA,POINT (-71.16879815979456 54.5546983),1550,,CTU2,,,
MCS,America/Argentina/Cordoba,Monte Caseros,MCS,AR,POINT (-57.640830221297385 -30.26812535),55,,SARM,Monte Caseros,Departamento de Monte Caseros,Corrientes
YOA,America/Yellowknife,Ekati,YOA,CA,POINT (-110.61438580264365 64.69891179999999),1536,,CYOA,,,
MGQ,Africa/Mogadishu,Mogadishu International Airport,MGQ,SO,POINT (45.304041242825505 2.0140883),19,,HCMM,Mogadishu,,Banaadir
DCG,Asia/Dubai,Dubai Creek SPB,DXB,AE,POINT (55.3116667 25.2644444),88,,"",,,
TIP,Africa/Tripoli,Tripoli International Airport,TIP,LY,POINT (13.14624729995671 32.6682804),263,,HLLT,Al 'Aziziyah,,Sha`biyat al Jafarah
TIQ,Pacific/Saipan,Tinian International,TIQ,MP,POINT (145.6183628291265 14.99833865),271,,PGWT,San Jose Village,,Tinian
TIR,Asia/Kolkata,Tirupati Airport,TIR,IN,POINT (79.54291963437294 13.63291745),350,http://aai.aero/allAirports/tirupati_generalinfo.jsp,VOTP,Renigunta,Chittoor,Andhra Pradesh
TIU,Pacific/Auckland,Timaru Airport,TIU,NZ,POINT (171.22451732612393 -44.29991735),89,,NZTU,Timaru,Timaru District,Canterbury
TIV,Europe/Podgorica,Tivat Airport,TIV,ME,POINT (18.724834448309945 42.403729850000005),20,http://www.montenegroairports.com/?menu=3,LYTV,Tivat,,Tivat
TIX,America/New_York,Space Coast Regional,TIX,US,POINT (-80.7990149 28.5142066),34,,KTIX,Port Saint John,Brevard County,Florida
DRF,America/Anchorage,Drift River,DRF,US,POINT (-152.1619444 60.5886111),32,,"3AK5",,,
TIY,Africa/Nouakchott,Tidjikja,TIY,MR,POINT (-11.4290322 18.5670563),1342,,GQND,Tidjikja,,Tagant
TJH,Asia/Tokyo,Tajima,TJH,JP,POINT (134.78669074842486 35.5126611),584,,RJBT,Toyooka,,Hyogo
TJK,Europe/Istanbul,Tokat,TJK,TR,POINT (36.3689279948842 40.3085033),1831,,LTAW,Yesilyurt,,Tokat
MZF,Africa/Johannesburg,Mzamba(Wild Coast Sun),MZF,ZA,POINT (28.5 -32.75),0,,,Butterworth,Amathole District Municipality,Eastern Cape
TJM,Asia/Yekaterinburg,Roshchino International Airport,TJM,RU,POINT (65.34941663635888 57.1799511),378,,USTR,Moskovskiy,,Tjumen
MZH,Europe/Istanbul,Merzifon Airport,MZH,TR,POINT (35.533333 40.88333),2129,http://www.merzifon.dhmi.gov.tr/havaalanlari/default.aspx?hv=15,LTAP,Merzifon,,Amasya
TJN,Pacific/Tahiti,Takume,TJN,PF,POINT (-142.26605624734879 -15.8577838),7,,NTKM,Atuona,,
TJS,Asia/Makassar,Tanjung Selor,TJS,ID,POINT (117.3740725749155 2.83771095),10,,WALG,Tanjung Palas,,North Kalimantan
TKF,America/Los_Angeles,Truckee-Tahoe,TKF,US,POINT (-120.13810245135681 39.318085100000005),5900,,KTRK,Truckee,Nevada County,California
TMA,America/New_York,Henry Tift Myers,TMA,US,POINT (-83.48807854883896 31.426983800000002),355,,KTMA,Unionville,Tift County,Georgia
MZJ,America/Phoenix,Marana,MZJ,US,POINT (-111.333336 32.516666),1860,,KMZJ,Avra Valley,Pima County,Arizona
MZK,Pacific/Tarawa,Marakei,MZK,KI,POINT (173.66667 1.983333),0,,NGMK,Rawannawi Village,Marakei,Gilbert Islands
MZM,Europe/Paris,Frescaty,ETZ,FR,POINT (6.134444 49.0725),567,,LFSF,Marly,Departement de la Moselle,Lorraine
MZO,America/Havana,Sierra Maestra Airport,MZO,CU,POINT (-77.12889 20.325),173,,MUMZ,Manzanillo,,Granma
MYA,Australia/Sydney,Moruya Airport,MYA,AU,POINT (150.14704150499173 -35.89351115),13,,YMRY,Broulee,Eurobodalla,New South Wales
MYD,Africa/Nairobi,Malindi Airport,MYD,KE,POINT (40.10004982828771 -3.2208611),26,http://www.kenyaairports.co.ke/kaa/airports/malindi/,HKML,Malindi,,Kilifi
MZR,Asia/Kabul,Mazar-I-Sharif Airport,MZR,AF,POINT (67.20849 36.70919),1243,,OAMS,Mazar-e Sharif,,Balkh
BGZ,Europe/Lisbon,Braga,BGZ,PT,POINT (-8.433333 41.55),531,http://www.pelicano.com.pt/zp_braga.html,LPBR,Braga,Braga,Braga
BHA,America/Guayaquil,Bahia De Caraquez,BHA,EC,POINT (-80.416664 -0.6),0,,SESV,Bahia de Caraquez,,Manabi
BHB,America/New_York,Bar Harbor Airport,BHB,US,POINT (-68.361664 44.44889),65,,KBHB,Trenton,Hancock County,Maine
BHH,Asia/Riyadh,Bisha Airport,BHH,SA,POINT (42.618484 19.994509),3809,,OEBH,Qal`at Bishah,,Mintaqat `Asir
BHI,America/Argentina/Buenos_Aires,Comandante Airport,BHI,AR,POINT (-62.150555 -38.730556),295,https://www.aeropuertobahiablanca.com/,SAZB,Bahia Blanca,Partido de Bahia Blanca,Buenos Aires
BHK,Asia/Samarkand,Bukhara Airport,BHK,UZ,POINT (64.48141101391582 39.77495605),751,,UTSB,Bukhara,,Bukhara
BHO,Asia/Kolkata,Raja Bhoj Airport,BHO,IN,POINT (77.34177 23.284761),1722,http://aai.aero/allAirports/bhopal_generalinfo.jsp,VABP,Bhopal,Bhopal,Madhya Pradesh
BHS,Australia/Sydney,Raglan Airport,BHS,AU,POINT (149.65518 -33.41387),2440,,YBTH,Kelso,Bathurst Regional,New South Wales
BHV,Asia/Karachi,Bahawalpur Airport,BHV,PK,POINT (71.683334 29.4),396,,OPBW,Bahawalpur,,Punjab
BIF,America/Denver,Biggs AAF,ELP,US,POINT (-106.48333 31.75),3733,https://www.bliss.army.mil/biggs/,KBIF,El Paso,El Paso County,Texas
CSV,America/Chicago,Memorial,CSV,US,POINT (-85.084724 35.95111),1873,http://www.crossvilletn.gov/index.php/departments/airport,KCSV,Crossville,Cumberland County,Tennessee
CSY,Europe/Moscow,Cheboksary Airport,CSY,RU,POINT (47.266666 56.13333),416,,UWKS,Cheboksary,Cheboksarskiy Rayon,Chuvashia
CSZ,America/Argentina/Buenos_Aires,Brigadier Hector Ruiz,CSZ,AR,POINT (-61.88333 -37.433334),754,,SAZC,Coronel Suarez,Partido de Coronel Suarez,Buenos Aires
CTB,America/Denver,Cut Bank,CTB,US,POINT (-112.333336 48.63333),3802,http://www.cutbankairport.org/,KCTB,Cut Bank,Glacier County,Montana
SVB,Indian/Antananarivo,Sambava,SVB,MG,POINT (50.1766569 -14.2781762),82,,FMNS,,,
AJR,Europe/Stockholm,Arvidsjaur Airport,AJR,SE,POINT (19.264585907892943 65.5920366),1227,,ESNX,Arvidsjaur,Arvidsjaurs Kommun,Norrbotten
AJU,America/Maceio,Aracaju Airport,AJU,BR,POINT (-37.07602527743482 -10.98281225),42,https://www4.infraero.gov.br/aeroportos/aeroporto-internacional-santa-maria-aracaju/,SBAR,Aracaju,Aracaju,Sergipe
AJY,Africa/Niamey,Agades,AJY,NE,POINT (7.997894294413262 16.965223950000002),1637,,DRZA,Agadez,,Agadez
AMG,Pacific/Port_Moresby,Amboin,AMG,PG,POINT (143.7 -4.616667),183,,,,,
CTC,America/Argentina/Catamarca,Catamarca Airport,CTC,AR,POINT (-65.779724 -28.448334),1729,,SANC,San Fernando del Valle de Catamarca,,Catamarca
TMB,America/New_York,Tamiami,MIA,US,POINT (-80.43202039454712 25.6481009),8,http://www.miami-airport.com/kendall_tamiami.asp,KTMB,Country Walk,Miami-Dade County,Florida
TMD,Africa/Nouakchott,Timbedra,TMD,MR,POINT (-8.1638308 16.2322342),692,,GQNH,Nema,,Hodh ech Chargui
TMW,Australia/Sydney,Tamworth Airport,TMW,AU,POINT (150.84718743745157 -31.0794991),1334,http://www.tamworth.nsw.gov.au/Council/Council-Enterprises-and-Venues/Tamworth-Regional-Airport/Tamworth-Regional-Airport/defaul,YSTW,Phillip,Tamworth Municipality,New South Wales
TNS,America/Dawson_Creek,Tungsten,TNS,CA,POINT (-127.666664 62),3500,,CBX5,,,
LCR,America/Bogota,La Chorrera,LCR,CO,POINT (-73.01667 -0.733333),709,,"",,,
TNA,Asia/Shanghai,Jinan Yaoqiang International Airport,TNA,CN,POINT (117.21173410272695 36.8572453),76,,ZSJN,Jinan,,Shandong Sheng
CTD,America/Panama,Chitre,CTD,PA,POINT (-80.40974541912982 7.98858265),36,,MPCE,Chitre,,Herrera
TNF,Europe/Paris,Toussus-le-noble,TNF,FR,POINT (2.1072688321992112 48.75184575),538,,LFPN,Villiers-le-Bacle,Departement de l'Essonne,Ile-de-France
TNG,Africa/Casablanca,Tangier Ibn Battouta Airport,TNG,MA,POINT (-5.912942469695661 35.72920725),62,,GMTT,Boukhalef,Tanger-Assilah,Tanger-Tetouan
TNI,Asia/Kolkata,Satna,TNI,IN,POINT (80.85495554511736 24.561878200000002),1060,,VIST,Satna,Satna,Madhya Pradesh
